Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,,,Microsoft.Extensions.Logging.Console 9.0.0,,,,,"Microsoft.Extensions.Logging.Console, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\Program.cs,99,20,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"if (hostingContext.Configuration.GetValue<bool>(""OpenTelemetry:MetricsEnabled""))                      {                          services.AddOpenTelemetry().WithMetrics(options =>                          {                              options.ConfigureResource(configureResource)                                  .AddRuntimeInstrumentation()                                  .AddPrometheusHttpListener();                              AddContractMetrics(options);                          });                      }                      else                      {                          services.TryAddSingleton<ContractDomainMetrics>();                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\Program.cs,96,24,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,"services.Configure<OtlpExporterOptions>(hostingContext.Configuration.GetSection(""OpenTelemetry:Otlp""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\Program.cs,85,20,"M:Microsoft.Extensions.Configuration.ConfigurationBinder.GetValue``1(Microsoft.Extensions.Configuration.IConfiguration,System.String)",,,,,"if (hostingContext.Configuration.GetValue<bool>(""OpenTelemetry:TracingEnabled""))                      {                          Sdk.SetDefaultTextMapPropagator(new JaegerPropagator());                            services.AddOpenTelemetry().WithTracing(builder => builder                                  .ConfigureResource(configureResource)                                  .SetSampler(new AlwaysOnSampler())                                  .AddMessageBusInstrumentation()                                  .AddEntityFrameworkCoreInstrumentation(options => options.SetDbStatementForText = true)                                  .AddOtlpExporter()                          );                          services.Configure<OtlpExporterOptions>(hostingContext.Configuration.GetSection(""OpenTelemetry:Otlp""));                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\NBB.Contracts.Worker.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.Worker\Program.cs,47,20,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,services.AddMediatR(cfg => cfg.RegisterServicesFromAssemblyContaining<ContractCommandHandlers>());
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.WriteModel.Data\NBB.Contracts.WriteModel.Data.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.WriteModel.Data\NBB.Contracts.WriteModel.Data.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\MicroServices\NBB.Contracts\NBB.Contracts.WriteModel.Data\NBB.Contracts.WriteModel.Data.csproj,File,samples\MicroServices\NBB.Contracts\NBB.Contracts.WriteModel.Data\NBB.Contracts.WriteModel.Data.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Core\NBB.Core.Abstractions\NBB.Core.Abstractions.csproj,File,src\Core\NBB.Core.Abstractions\NBB.Core.Abstractions.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,File,src\Core\NBB.Core.Configuration\NBB.Core.Configuration.csproj,,,Microsoft.Extensions.Configuration 9.0.0,,,,,"Microsoft.Extensions.Configuration, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.1"
